<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140129,103136,4318,76
OTP,0,20140129,103136,4317,174
OTP,0,20140129,103158,4320,500
OTP,0,20140129,103218,4319,50
OTP,0,20140129,103346,4319,29
OTP,0,20140129,103407,4318,50
OTP,0,20140129,103419,4319,171
OTP,0,20140129,103419,4320,329
OTP,0,20140129,103633,4320,100
OTP,0,20140129,103656,4318,250
OTP,0,20140129,103656,4317,250
OTP,0,20140129,103702,4317,200
OTP,0,20140129,103705,4317,1000
OTP,0,20140129,103718,4317,100
OTP,0,20140129,103731,4317,422
OTP,0,20140129,103748,4317,78
OTP,0,20140129,103818,4317,200
OTP,0,20140129,103829,4317,250
OTP,0,20140129,103833,4318,500
OTP,0,20140129,103848,4317,300
OTP,0,20140129,103849,4317,600
OTP,0,20140129,103851,4317,851
OTP,0,20140129,103925,4317,1000
OTP,0,20140129,103953,4318,1984
OTP,0,20140129,104007,4320,1000
OTP,0,20140129,104008,4320,1967
OTP,0,20140129,104008,4320,500
OTP,0,20140129,104009,4320,2586
OTP,0,20140129,104009,4321,134
OTP,0,20140129,104010,4324,1548
OTP,0,20140129,104038,4325,2000
OTP,0,20140129,104040,4320,4500
OTP,0,20140129,104041,4327,100
OTP,0,20140129,104041,4320,1346
OTP,0,20140129,104042,4327,3500
OTP,0,20140129,104048,4320,542
OTP,0,20140129,104201,4321,5
OTP,0,20140129,104202,4321,1000
OTP,0,20140129,104226,4325,1000
OTP,0,20140129,104226,4325,2398
OTP,0,20140129,104230,4325,231
OTP,0,20140129,104234,4322,30
OTP,0,20140129,104249,4325,445
OTP,0,20140129,104258,4325,330
OTP,0,20140129,104306,4325,2750
OTP,0,20140129,104307,4325,562
OTP,0,20140129,104320,4325,231
OTP,0,20140129,104330,4325,502
OTP,0,20140129,104352,4328,1000
OTP,0,20140129,104356,4328,1000
OTP,0,20140129,104356,4328,1550
OTP,0,20140129,104404,4330,1546
OTP,0,20140129,104412,4330,598
OTP,0,20140129,104425,4330,1000
OTP,0,20140129,104531,4338,8
OTP,0,20140129,104556,4338,26
OTP,0,20140129,104611,4334,402
OTP,0,20140129,104614,4334,98
OTP,0,20140129,104627,4338,27
OTP,0,20140129,104639,4341,74
OTP,0,20140129,104639,4342,181
OTP,0,20140129,104657,4342,1944
OTP,0,20140129,104659,4345,33
OTP,0,20140129,104700,4346,50
OTP,0,20140129,104701,4347,734
OTP,0,20140129,104701,4347,30
OTP,0,20140129,104701,4347,36
OTP,0,20140129,104702,4348,130
OTP,0,20140129,104703,4346,50
OTP,0,20140129,104703,4349,2043
OTP,0,20140129,104707,4350,920
OTP,0,20140129,104711,4350,915
OTP,0,20140129,104712,4350,2850
OTP,0,20140129,104723,4350,1142
OTP,0,20140129,104734,4350,1723
OTP,0,20140129,104735,4360,106
OTP,0,20140129,104938,4345,350
OTP,0,20140129,104942,4344,310
OTP,0,20140129,104948,4342,56
OTP,0,20140129,104948,4340,295
OTP,0,20140129,105009,4337,430
OTP,0,20140129,105022,4335,53
OTP,0,20140129,105022,4332,310
OTP,0,20140129,105022,4331,500
OTP,0,20140129,105022,4330,1000
OTP,0,20140129,105032,4330,137
OTP,0,20140129,105032,4337,213
OTP,0,20140129,105128,4330,10
OTP,0,20140129,105140,4330,57
OTP,0,20140129,105147,4330,154
OTP,0,20140129,105223,4329,150
OTP,0,20140129,105234,4329,284
OTP,0,20140129,105239,4328,340
OTP,0,20140129,105239,4326,1320
OTP,0,20140129,105239,4325,3340
OTP,0,20140129,105240,4329,718
OTP,0,20140129,105254,4325,350
OTP,0,20140129,105259,4325,100
OTP,0,20140129,105306,4330,1183
OTP,0,20140129,105649,4333,35
OTP,0,20140129,105649,4331,15
OTP,0,20140129,105928,4336,55
OTP,0,20140129,110024,4336,52
OTP,0,20140129,110048,4336,107
OTP,0,20140129,110137,4337,300
OTP,0,20140129,110138,4337,57
OTP,0,20140129,110148,4340,600
OTP,0,20140129,110149,4340,1324
OTP,0,20140129,110149,4340,290
OTP,0,20140129,110149,4340,350
OTP,0,20140129,110250,4332,200
OTP,0,20140129,110250,4331,100
OTP,0,20140129,110332,4339,100
OTP,0,20140129,110419,4331,50
OTP,0,20140129,110558,4339,210
